                              2017-08 CUE - Browser E2																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Sep 5 2017, 1:35pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com																													
																														
Username	mhayes0716	alexfairlie	JohnDeyeso	tiffwatson7	Karghitect	Reed_pro	dsince1984	vna18	danlaucas	lkayer	supyonamesjosh	Joyahocker	dplachy	watso	Sbuerger	ldix16	Gareath	skielandrianna	marissia.watkin	Troy.Rial	WhitNit	ladylyn	johnstevensonv	jasyu22	jhua	Looper116	Axan	jada444	aleighty3	CWildman
Test ID #	2245683C	2245683D	2245683G	2245683H	2245683I	2245683J	2245683K	2245683L	2245683M	2245683N	2245683O	2245683R	2245683S	2245683V	2245683X	2245683Y	2245683B	2245683E	2245683F	2245683P	2245683Q	2245683T	2245683U	2245683W	2245683Z	2245683AA	2245683AB	2245683AC	2245683AD	2245683AE
Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	39	27	41	28	22	24	33	26	21	28	28	26	27	30	21	21	33	44	36	27	30	39	26	30	25	27	31	40	39	44
Annual household income	"$40,000 to $100,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"$40,000 to $100,000"
Gender	Male	Male	Male	Female	Male	Male	Female	Female	Female	Female	Male	Female	Female	Male	Male	Female	Male	Female	Female	Male	Female	Female	Male	Female	Female	Female	Male	Female	Female	Female
Country	United States	Canada	United States	United States	United States	Canada	United States	United States	United States	United States	United States	United States	United States	Canada	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	United States	United States	United States	Canada
Web expertise	Advanced	Average	Advanced	Average	Advanced	Advanced	Advanced	Advanced	Advanced	Average	Advanced	Advanced	Advanced	Average	Average	Advanced	Advanced	Advanced	Advanced	Average	Average	Average	Advanced	Advanced	Average	Average	Advanced	Average	Advanced	Advanced
Operating System	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0
Web Browser	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Social Networking	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Facebook, Linkedin"	"Facebook, Linkedin, Twitter"	"Google+, Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Twitter"	"Pinterest, Twitter, Facebook"	"Facebook, Linkedin, Pinterest"	"Twitter, Linkedin, Facebook"	"Pinterest, Facebook"	"Pinterest, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Twitter, Google+, Facebook"	Pinterest	Facebook	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Pinterest"		"Facebook, Pinterest"	Linkedin	Facebook	Facebook	"Google+, Pinterest, Twitter, Linkedin, Facebook"
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	25-45	25-45	25-45	25-45	18-25	18-25	25-45	18-25	18-25	25-45	25-45	25-45	25-45	25-45	18-25	18-25	25-45	25-45	25-45	25-45	25-45	25-45	25-45	25-45	25-45	18-25	25-45	25-45	25-45	25-45
																														
Question 2																														
What is the highest level of schooling you have completed?	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college
																														
Question 3																														
What is your employment status?	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	I am a full time student	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.), I am a small business owner who employs one or more individuals"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.), I am a small business owner who employs one or more individuals"
																														
Question 4																														
What version of Windows are you using?	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10
																														
Question 5																														
Which web browser do you primarily use on your PC?	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome
																														
Question 6																														
This test will require using Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.  Are you okay with that?	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"
																														
Notes																														
		replaced 2245683A																												
Tester System Info																														
Browser Version	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Color Depth	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
CPU	Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz	Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz	Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz	AMD A8-6410 APU with AMD Radeon R5 Graphics 	Intel(R) Core(TM) i7 CPU 860 @ 2.80GHz	AMD A10-5745M APU with Radeon(tm) HD Graphics 	AMD A6-3420M APU with Radeon(tm) HD Graphics	AMD FX(tm)-8320 Eight-Core Processor 	AMD E1-1200 APU with Radeon(tm) HD Graphics	Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz	AMD A10-5800K APU with Radeon(tm) HD Graphics 	AMD A8-4555M APU with Radeon(tm) HD Graphics 	Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz	Intel(R) Core(TM) i5 CPU 760 @ 2.80GHz	Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz	Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz	Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz	Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz	AMD A4-6210 APU with AMD Radeon R3 Graphics 	Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz	Intel(R) Pentium(R) CPU N3520 @ 2.16GHz	Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz	Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz	Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz	Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz	Pentium(R) Dual-Core CPU T4300 @ 2.10GHz	Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz	Intel(R) Pentium(R) CPU J3710 @ 1.60GHz
Free Disk Space	7607.82 MB	137663.31 MB	426451.45 MB	372141.54 MB	222347.65 MB	627289.25 MB	248799.2 MB	492650.78 MB	410642.46 MB	416740.84 MB	442211.65 MB	152658.5 MB	593889.39 MB	275984.5 MB	416691.82 MB	815818.07 MB	125246.87 MB	586738.8 MB	850574.45 MB	855491.43 MB	646051.2 MB	893519.32 MB	474953.55 MB	101110.8 MB	29183.75 MB	121011.9 MB	216921.38 MB	133072.86 MB	132411.52 MB	862104.73 MB
Free Memory (RAM)	10097.68 MB	2293.01 MB	3395.38 MB	3257.51 MB	9525.39 MB	3673.61 MB	646.67 MB	2742.75 MB	3268.09 MB	2770.3 MB	8831.36 MB	1199.87 MB	2630.12 MB	2011.3 MB	4147.81 MB	4723.58 MB	12840.37 MB	2764.38 MB	2327.59 MB	2304.05 MB	1862.39 MB	5185.76 MB	5696.15 MB	748.41 MB	1298.73 MB	4369.27 MB	3867.08 MB	2091.8 MB	2682.88 MB	4162.33 MB
